# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_k_dk
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: medium (N0 = 200 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized    100         1  7.3781031969e+00
LI     polarized      100         1  7.4492736959e+00
N      unpolarized    100         1  5.3239335374e+01
N      polarized      200         1  5.4063329691e+01
NE     unpolarized    100         1  1.2821992555e+02
NE     polarized      100         1  1.2821992555e+02
NA     unpolarized    100         1  1.6162498052e+02
NA     polarized      100         1  1.6170357011e+02
P      unpolarized    100         1  3.4090335378e+02
P      polarized      100         1  3.4118339261e+02
AR     unpolarized    200         1  5.2755580732e+02
AR     polarized      200         1  5.2755580732e+02
