# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_k_absp1
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized     50         1  4.4428998055e+00
LI     polarized       50         1  4.4792066172e+00
N      unpolarized    100         1  2.3768211057e+01
N      polarized      100         1  2.3788759145e+01
NE     unpolarized    100         1  4.2095755050e+01
NE     polarized      100         1  4.2095755050e+01
NA     unpolarized    100         1  4.9211067981e+01
NA     polarized      100         1  4.9256720856e+01
P      unpolarized    100         1  8.1233213435e+01
P      polarized      100         1  8.1261854729e+01
AR     unpolarized    100         1  1.0656302365e+02
AR     polarized      100         1  1.0656302365e+02
