# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_k_pbe3
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: medium (N0 = 200 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized    100         1  1.1458768380e+01
LI     polarized      100         1  1.1478511376e+01
N      unpolarized    100         1  8.0425305198e+01
N      polarized      100         1  8.0886696822e+01
NE     unpolarized    100         1  1.8643630059e+02
NE     polarized      100         1  1.8643630059e+02
NA     unpolarized    100         1  2.3303098801e+02
NA     polarized      100         1  2.3304521085e+02
P      unpolarized    200         1  4.7850873306e+02
P      polarized      200         1  4.7871288986e+02
AR     unpolarized    200         1  7.2834961525e+02
AR     polarized      200         1  7.2834961525e+02
