# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: mgga_k_rda
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: pathological (N0 = 1600 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized    800         1  7.6007662097e+00
LI     polarized      400         1  7.6391205856e+00
N      unpolarized   1600         1  5.4135780175e+01
N      polarized     1600         1  5.4887027252e+01
NE     unpolarized    800         1  1.2882639253e+02
NE     polarized      800         1  1.2882639253e+02
NA     unpolarized    800         1  1.6210123660e+02
NA     polarized      800         1  1.6215560366e+02
P      unpolarized   1600         1  3.3983550077e+02
P      polarized     1600         1  3.4007198313e+02
AR     unpolarized   1600         1  5.2336131140e+02
AR     polarized     1600         1  5.2336131140e+02
