# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_k_ol2
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized     50         1  7.5275370150e+00
LI     polarized       25         1  7.5538719180e+00
N      unpolarized     50         1  5.3847063356e+01
N      polarized      100         1  5.4743124447e+01
NE     unpolarized    100         1  1.2868041785e+02
NE     polarized      100         1  1.2868041785e+02
NA     unpolarized    100         1  1.6213361098e+02
NA     polarized      100         1  1.6215646365e+02
P      unpolarized    100         1  3.4128453049e+02
P      polarized      100         1  3.4159539676e+02
AR     unpolarized    100         1  5.2774476015e+02
AR     polarized      100         1  5.2774476015e+02
