# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_k_llp
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized     50         1  7.4403325736e+00
LI     polarized       50         1  7.4617161181e+00
N      unpolarized    100         1  5.3570758644e+01
N      polarized       50         1  5.4420963221e+01
NE     unpolarized    100         1  1.2839546272e+02
NE     polarized      100         1  1.2839546272e+02
NA     unpolarized    100         1  1.6185507266e+02
NA     polarized      100         1  1.6187164607e+02
P      unpolarized    100         1  3.4109911889e+02
P      polarized      100         1  3.4139626562e+02
AR     unpolarized    100         1  5.2772747457e+02
AR     polarized      100         1  5.2772747457e+02
