# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_k_lieb
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized     50         1  8.0170232318e+00
LI     polarized       25         1  8.0465823099e+00
N      unpolarized     50         1  5.6770351297e+01
N      polarized      100         1  5.7688501841e+01
NE     unpolarized    100         1  1.3460671594e+02
NE     polarized      100         1  1.3460671594e+02
NA     unpolarized    100         1  1.6932488321e+02
NA     polarized      100         1  1.6935155201e+02
P      unpolarized    100         1  3.5481244861e+02
P      polarized      100         1  3.5513267726e+02
AR     unpolarized    100         1  5.4729275052e+02
AR     polarized      100         1  5.4729275052e+02
