# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_k_revapbeint
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized     50         1  7.4491294532e+00
LI     polarized       50         1  7.4692769545e+00
N      unpolarized    100         1  5.3541902246e+01
N      polarized      100         1  5.4384985087e+01
NE     unpolarized    100         1  1.2808687564e+02
NE     polarized      100         1  1.2808687564e+02
NA     unpolarized    100         1  1.6141061678e+02
NA     polarized      100         1  1.6142511946e+02
P      unpolarized    100         1  3.3983670330e+02
P      polarized      100         1  3.4013606422e+02
AR     unpolarized    100         1  5.2551185755e+02
AR     polarized      100         1  5.2551185755e+02
