# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_k_gp85
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized     50         1  7.1948284644e+00
LI     polarized       50         1  7.2398642147e+00
N      unpolarized    100         1  4.3802557346e+01
N      polarized      100         1  4.4173008569e+01
NE     unpolarized    100         1  9.0613238469e+01
NE     polarized      100         1  9.0613238469e+01
NA     unpolarized    100         1  1.1050856221e+02
NA     polarized      100         1  1.1056117294e+02
P      unpolarized    100         1  2.1123637911e+02
P      polarized      100         1  2.1138553042e+02
AR     unpolarized    100         1  3.0842402606e+02
AR     polarized      100         1  3.0842402606e+02
