# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: mgga_k_csk_loc1
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: hard (N0 = 800 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized    200         1  9.6042692163e+00
LI     polarized      400         1  9.6168564058e+00
N      unpolarized    800         1  6.5906311028e+01
N      polarized      800         1  6.6820880164e+01
NE     unpolarized    800         1  1.5153593253e+02
NE     polarized      800         1  1.5153593253e+02
NA     unpolarized    800         1  1.8943227052e+02
NA     polarized      800         1  1.8943988308e+02
P      unpolarized    800         1  3.9024260080e+02
P      polarized      800         1  3.9049630325e+02
AR     unpolarized    800         1  5.9628320025e+02
AR     polarized      800         1  5.9628320025e+02
