# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_k_ghds10
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized     50         1  1.5661487920e+01
LI     polarized       50         1  1.5832878672e+01
N      unpolarized    100         1  9.8593164893e+01
N      polarized      100         1  9.9961693596e+01
NE     unpolarized    100         1  2.1897745564e+02
NE     polarized      100         1  2.1897745564e+02
NA     unpolarized    100         1  2.7063046147e+02
NA     polarized      100         1  2.7079633574e+02
P      unpolarized    100         1  5.4293140036e+02
P      polarized      100         1  5.4352904699e+02
AR     unpolarized    100         1  8.1895758889e+02
AR     polarized      100         1  8.1895758889e+02
