# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_k_golden
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized     50         1  8.7579444934e+00
LI     polarized       25         1  8.7921411663e+00
N      unpolarized    100         1  6.1281126221e+01
N      polarized      100         1  6.2237424918e+01
NE     unpolarized    100         1  1.4393803987e+02
NE     polarized      100         1  1.4393803987e+02
NA     unpolarized    100         1  1.8070502156e+02
NA     polarized      100         1  1.8073710819e+02
P      unpolarized    100         1  3.7656550711e+02
P      polarized      100         1  3.7690109532e+02
AR     unpolarized    100         1  5.7905416355e+02
AR     polarized      100         1  5.7905416355e+02
