# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_k_revapbe
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized     50         1  7.5252471804e+00
LI     polarized       50         1  7.5455321827e+00
N      unpolarized    100         1  5.4081471208e+01
N      polarized      100         1  5.4924240073e+01
NE     unpolarized    100         1  1.2934274381e+02
NE     polarized      100         1  1.2934274381e+02
NA     unpolarized    100         1  1.6297955212e+02
NA     polarized      100         1  1.6299425231e+02
P      unpolarized    100         1  3.4305012616e+02
P      polarized      100         1  3.4334861238e+02
AR     unpolarized    100         1  5.3038841480e+02
AR     polarized      100         1  5.3038841480e+02
