# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_k_rational_p
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized    100         1  4.6484402503e+00
LI     polarized      100         1  4.6695646387e+00
N      unpolarized    100         1  3.4954142993e+01
N      polarized      100         1  3.5864552078e+01
NE     unpolarized    100         1  8.7710091905e+01
NE     polarized      100         1  8.7710091905e+01
NA     unpolarized    100         1  1.1169573867e+02
NA     polarized      100         1  1.1171441480e+02
P      unpolarized    100         1  2.4228505092e+02
P      polarized      100         1  2.4258489303e+02
AR     unpolarized    100         1  3.8110298093e+02
AR     polarized      100         1  3.8110298093e+02
