# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_k_tkvln
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized     50         1  1.3973613559e+01
LI     polarized       50         1  1.4042106466e+01
N      unpolarized    100         1  9.2724452340e+01
N      polarized      100         1  9.3949470205e+01
NE     unpolarized    100         1  2.0886323693e+02
NE     polarized      100         1  2.0886323693e+02
NA     unpolarized    100         1  2.5982381494e+02
NA     polarized      100         1  2.5989532799e+02
P      unpolarized    100         1  5.2753809970e+02
P      polarized      100         1  5.2798457198e+02
AR     unpolarized    100         1  7.9933529966e+02
AR     polarized      100         1  7.9933529966e+02
