# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_k_lc94
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized     50         1  7.4645871665e+00
LI     polarized       25         1  7.4860761780e+00
N      unpolarized    100         1  5.3676949735e+01
N      polarized      100         1  5.4532370388e+01
NE     unpolarized    100         1  1.2854868712e+02
NE     polarized      100         1  1.2854868712e+02
NA     unpolarized    100         1  1.6202541049e+02
NA     polarized      100         1  1.6204216678e+02
P      unpolarized    100         1  3.4132956005e+02
P      polarized      100         1  3.4162869348e+02
AR     unpolarized    100         1  5.2798485615e+02
AR     polarized      100         1  5.2798485615e+02
