# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_k_meyer
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: pathological (N0 = 1600 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized    800         1  7.4983137558e+00
LI     polarized     1600         1  7.5451554450e+00
N      unpolarized   1600         1  5.3567621545e+01
N      polarized      800         1  5.4468265492e+01
NE     unpolarized   1600         1  1.2794871370e+02
NE     polarized     1600         1  1.2794871370e+02
NA     unpolarized    800         1  1.6117703325e+02
NA     polarized     1600         1  1.6121803007e+02
P      unpolarized    800         1  3.3920969817e+02
P      polarized     1600         1  3.3952233579e+02
AR     unpolarized    800         1  5.2449233780e+02
AR     polarized      800         1  5.2449233780e+02
