# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_k_absp4
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized     50         1  5.9495141325e+00
LI     polarized       25         1  5.9779107446e+00
N      unpolarized    100         1  3.9635339385e+01
N      polarized      100         1  4.0158379984e+01
NE     unpolarized    100         1  8.9354254097e+01
NE     polarized      100         1  8.9354254097e+01
NA     unpolarized    100         1  1.1118734478e+02
NA     polarized      100         1  1.1121714697e+02
P      unpolarized    100         1  2.2589109921e+02
P      polarized      100         1  2.2608048659e+02
AR     unpolarized    100         1  3.4235759666e+02
AR     polarized      100         1  3.4235759666e+02
